区画記号,席番号,サークル番号,サークル名,代表者名,ジャンル,スペース数,合体先サークル番号,頒布部数,書籍有り
,,1001,ぐれーすけーる,むずでょ,テーブル,1,,0,
,,1002,ねこみみソフト,黒井,ノベル,1,,70,1
,,1003,こんぺいとう工房,白田,アクション,1,,5,
,,1004,月見草ゲームズ,赤川,アクション,1,,0,
,,1005,ひなたぼっこピクセル,黄山,アクション,1,1013,0,
,,1006,おやつ時間開発室,橙河,アクション,1,1018,50,
,,1007,星屑ラボ,緑沢,アドベンチャー,2,,200,
,,1008,夕焼けコーデックス,水辺,パズル,1,,10,
,,1009,深海トロッコ,青谷,RPG,1,,5,
,,1010,廃墟のキーボード,紺木,音ゲー,1,,12,
,,1011,霧雨アルゴリズム,藍崎,ストラテジー,1,,50,1
,,1012,量子うさぎ,紫野,シューティング,1,,30,
,,1013,Bit Forest,桃部,シューティング,1,1005,20,
,,1014,白黒コントラスト,灰下,RPG,1,,30,
,,1015,折り紙エンジン,金上,RPG,1,,150,1
,,1016,桜前線開発室,銀原,シューティング,2,,700,
,,1017,Team こんがりパン,茶地,対戦格闘,2,,150,
,,1018,無限ループ食堂,透藤,シューティング,1,1006,90,
,,1019,セーブデータの向こう側,蒼村,ノベル,1,,15,
,,1020,8bitの幽霊,紅本,アクション,1,,30,
,,1021,最終電車制作委員会,緋塚,ノベル,1,,80,1
